src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,57822,199,6,DoS,0.5496 seconds,0.5644444444444444,0.5644444444444444,0.03,0.3812222222222222,0.0044444444444444444,0.01988888888888889
192.168.100.51,192.168.100.50,57842,110,6,DoS,0.9214 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57843,23,6,DoS,1.7042 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57844,143,6,DoS,1.3471 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57845,53,6,DoS,1.1737 seconds,0.5284126984126984,0.5284126984126984,0.016666666666666666,0.4382539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57846,1025,6,DoS,1.0020 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57847,5900,6,DoS,0.5181 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57848,443,6,DoS,1.0769 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57849,587,6,DoS,0.7592 seconds,0.5284126984126984,0.5284126984126984,0.016666666666666666,0.4382539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57850,5801,6,DoS,0.5855 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57851,3006,6,DoS,0.8132 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57852,2170,6,DoS,0.8176 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57853,27355,6,DoS,0.6939 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57854,1002,6,DoS,0.5828 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57855,49158,6,DoS,0.9562 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57856,19283,6,DoS,0.7915 seconds,0.558,0.558,0.016666666666666666,0.4086666666666666,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57857,541,6,Benign,0.3659 seconds,1.0
192.168.100.51,192.168.100.50,57858,5666,6,DoS,0.6828 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57859,1086,6,DoS,0.6315 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57860,40193,6,DoS,0.6158 seconds,0.5268888888888889,0.5268888888888889,0.016666666666666666,0.43977777777777777,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57861,9418,6,DoS,0.7329 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57862,668,6,Benign,0.7176 seconds,1.0
192.168.100.51,192.168.100.50,57863,5190,6,DoS,0.8931 seconds,0.5395238095238095,0.5395238095238095,0.016666666666666666,0.4271428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57864,616,6,DoS,0.5470 seconds,0.5274444444444444,0.5274444444444444,0.023333333333333334,0.4214444444444444,0.0044444444444444444,0.023333333333333334
192.168.100.51,192.168.100.50,57865,3390,6,DoS,0.5875 seconds,0.5395238095238095,0.5395238095238095,0.016666666666666666,0.4271428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57866,1046,6,DoS,0.5953 seconds,0.5395238095238095,0.5395238095238095,0.016666666666666666,0.4271428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57867,45100,6,DoS,1.0483 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57868,49153,6,DoS,0.5711 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57869,3689,6,DoS,0.8185 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57870,1801,6,Benign,0.3271 seconds,1.0
192.168.100.51,192.168.100.50,57871,5906,6,DoS,0.5201 seconds,0.5411904761904761,0.5411904761904761,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57872,2001,6,DoS,0.5776 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57873,2005,6,DoS,0.7457 seconds,0.538968253968254,0.538968253968254,0.016666666666666666,0.42769841269841263,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57874,9593,6,Benign,0.8927 seconds,1.0
192.168.100.51,192.168.100.50,57875,5560,6,DoS,0.6993 seconds,0.5411904761904761,0.5411904761904761,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57876,1521,6,Benign,0.4489 seconds,1.0
192.168.100.51,192.168.100.50,57877,888,6,DoS,0.6499 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57878,666,6,DoS,0.5852 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57879,8194,6,DoS,0.5807 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57880,32778,6,DoS,0.5483 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57881,32785,6,DoS,0.5691 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57882,8443,6,DoS,0.7571 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57883,7676,6,DoS,0.9970 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57884,1972,6,DoS,0.7034 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57885,1247,6,DoS,0.5461 seconds,0.5356349206349207,0.5356349206349207,0.016666666666666666,0.431031746031746,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57886,5033,6,DoS,0.6306 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57887,5922,6,DoS,0.9962 seconds,0.538968253968254,0.538968253968254,0.016666666666666666,0.42769841269841263,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57888,700,6,Benign,0.8710 seconds,1.0
192.168.100.51,192.168.100.50,57889,8002,6,DoS,0.8192 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,58426,1040,6,DoS,0.5971 seconds,0.5274444444444444,0.5274444444444444,0.023333333333333334,0.4214444444444444,0.0044444444444444444,0.023333333333333334
192.168.100.51,192.168.100.50,58626,10215,6,Benign,0.3712 seconds,1.0
192.168.100.51,192.168.100.50,58826,8080,6,DoS,0.7515 seconds,0.5268888888888889,0.5268888888888889,0.016666666666666666,0.43977777777777777,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,59672,8031,6,DoS,0.6929 seconds,0.558,0.558,0.016666666666666666,0.4086666666666666,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,59673,1175,6,Benign,0.5086 seconds,1.0
192.168.100.51,192.168.100.50,59674,1248,6,DoS,0.9499 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,59854,22,6,DoS,1.1531 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,60956,80,6,DoS,0.6139 seconds,0.5648181818181818,0.5648181818181818,0.02666666666666667,0.252,0.0,0.15651515151515152
192.168.100.51,192.168.100.50,60359,1041,6,Benign,0.3498 seconds,1.0
192.168.100.51,192.168.100.50,60831,497,6,DoS,0.7455 seconds,0.5268888888888889,0.5268888888888889,0.016666666666666666,0.43977777777777777,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,62844,53,6,Benign,0.8094 seconds,1.0
192.168.100.51,192.168.100.50,63317,4343,6,Benign,0.8677 seconds,1.0
