src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,51425,80,6,DoS,0.4366 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51241,80,6,DoS,0.4479 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51426,80,6,DoS,0.8199 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51344,80,6,DoS,0.5376 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51343,80,6,DoS,0.9447 seconds,0.5945238095238096,0.5945238095238096,0.02666666666666667,0.3721428571428571,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51243,80,6,DoS,1.2302 seconds,0.5956349206349206,0.5956349206349206,0.02666666666666667,0.37103174603174605,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51825,80,6,DoS,1.4615 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51824,80,6,DoS,1.2945 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51637,80,6,DoS,1.1584 seconds,0.5945238095238095,0.5945238095238095,0.02666666666666667,0.3721428571428571,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51561,80,6,DoS,0.9146 seconds,0.5956349206349206,0.5956349206349206,0.02666666666666667,0.37103174603174605,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51384,80,6,DoS,0.7321 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64595,80,6,DoS,0.7922 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64594,80,6,DoS,0.8134 seconds,0.5945238095238096,0.5945238095238096,0.02666666666666667,0.3721428571428571,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64593,80,6,DoS,0.5903 seconds,0.5900793650793651,0.5900793650793651,0.02666666666666667,0.3765873015873016,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64592,80,6,DoS,0.6823 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
