src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time
192.168.100.12,192.168.100.1,54325,53,17,Benign,0.04196508199675009
192.168.100.12,192.168.100.1,45225,53,17,Benign,0.0361118510045344
192.168.100.12,192.168.100.1,53648,53,17,Benign,0.03750039699662011
192.168.100.12,192.168.100.1,52529,53,17,Benign,0.03737191000254825
20.189.173.1,192.168.100.12,443,60808,6,Benign,0.171400083010667
192.168.100.12,192.168.100.1,41940,53,17,Benign,0.12942067900439724
20.189.173.1,192.168.100.12,443,60822,6,Benign,0.0696138420025818
192.168.100.12,192.168.100.1,46295,53,17,Benign,0.07249788900662679
20.189.173.1,192.168.100.12,443,49706,6,Benign,0.06560866300424095
192.168.100.12,192.168.100.1,60091,53,17,Benign,0.0451873389974935
192.168.100.12,192.168.100.1,41873,53,17,Benign,0.048410685994895175
20.189.173.1,192.168.100.12,443,49720,6,Benign,0.03997818400966935
192.168.100.12,192.168.100.1,42344,53,17,Benign,0.056097610999131575
20.189.173.1,192.168.100.12,443,49732,6,Benign,0.050795718998415396
192.168.100.12,192.168.100.1,50133,53,17,Benign,0.044190308995894156
192.168.100.12,192.168.100.1,39721,53,17,Benign,0.05061688199930359
192.168.100.12,192.168.100.1,52025,53,17,Benign,0.04202249400259461
20.189.173.1,192.168.100.12,443,55086,6,Benign,0.036186786004691385
